Date,Launch Time (UTC),Missile Name,Missile Type,Facility Latitude,Facility Longitude,Landing Location,Apogee,Distance Travelled,Confirmation Status,Test Outcome
25-Aug-17,10:19:00 PM,Scud-B MaRV,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,,250 km
28-Aug-17,8:58:00 PM,Hwasong-12,IRBM,don’t care,39.200159,125.673256,don’t care,550 km,2700 km,Confirmed
14-Sep-17,9:57:00 PM,Hwasong-12,IRBM,don’t care,39.200159,125.673256,don’t care,770 km,3700 km,Confirmed
28-Nov-17,6:18:00 PM,Hwasong-15,ICBM,don’t care,39.282,125.869,don’t care,4475 km,950 km,Confirmed
4-May-19,1:54:00 AM,KN-23,SRBM,don’t care,39.40167,127.5369,don’t care,,200 km,Confirmed
4-May-19,unknown,KN-23,SRBM,don’t care,39.40167,127.5369,don’t care,,,Confirmed
9-May-19,7:29:00 AM,KN-23,SRBM,don’t care,40.029678,125.227326,don’t care,50 km,420 km,Confirmed
9-May-19,7:49:00 AM,KN-23,SRBM,don’t care,40.029678,125.227326,don’t care,,,Confirmed
24-Jul-19,8:34:00 PM,KN-23,SRBM,don’t care,39.40167,127.5369,don’t care,50 km,430 km,Confirmed
24-Jul-19,8:57:00 PM,KN-23,SRBM,don’t care,39.40167,127.5369,don’t care,50 km,690 km,Confirmed
6-Aug-19,unknown,KN-23,SRBM, South Hwanghae",don’t care,38.421522,125.024421,don’t care,37 km,450 km
6-Aug-19,unknown,KN-23,SRBM, South Hwanghae",don’t care,38.421522,125.024421,don’t care,37 km,450 km
9-Aug-19,8:34:00 PM,KN-24,SRBM,don’t care,39.811611,127.66375,don’t care,48 km,400 km,Confirmed
9-Aug-19,8:50:00 PM,KN-24,SRBM,don’t care,39.811611,127.66375,don’t care,48 km,400 km,Confirmed
15-Aug-19,11:01:00 PM,KN-24,SRBM,don’t care,38.953797,127.891882,don’t care,30 km,230 km,Confirmed
15-Aug-19,11:16:00 PM,KN-24,SRBM,don’t care,38.953797,127.891882,don’t care,30 km,230 km,Confirmed
